"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"608","Rainforest",3,40,3
"609","Rainforest",17,42,14
"610","Rainforest",9,29,4
"611","Rainforest",18,47,16
"612","Rainforest",5,52,9
"613","Rainforest",11,45,8
"614","Rainforest",22,37,11
"615","Rainforest",17,43,8
"616","Rainforest",11,32,3
"617","Rainforest",21,42,10
"618","Rainforest",4,18,14
"619","Rainforest",79,22,7
"620","High.Elevation",6,6,40
"621","High.Elevation",13,78,13
"622","High.Elevation",37,10,40
"623","High.Elevation",20,6,13
"624","High.Elevation",21,9,13
"625","High.Elevation",29,78,24
"626","High.Elevation",21,13,40
"627","High.Elevation",6,87,24
"628","High.Elevation",21,78,1
"629","High.Elevation",6,38,13
"630","High.Elevation",6,60,24
"631","High.Elevation",30,19,40
"632","High.Elevation",24,13,13
"633","High.Elevation",18,60,2
"634","High.Elevation",21,6,2
"635","High.Elevation",32,9,34
"636","High.Elevation",28,11,24
"637","High.Elevation",21,6,34
"638","High.Elevation",18,6,2
"639","High.Elevation",7,70,13
"640","High.Elevation",15,60,24
"641","High.Elevation",19,6,2
"642","High.Elevation",11,78,24
"643","High.Elevation",20,78,24
"644","High.Elevation",29,60,41
"645","High.Elevation",28,18,24
"646","High.Elevation",9,87,13
"647","High.Elevation",31,15,34
"648","High.Elevation",17,60,1
"649","High.Elevation",9,3,24
"650","High.Elevation",17,49,24
"651","High.Elevation",15,60,2
"652","High.Elevation",10,87,2
"653","High.Elevation",13,38,1
"654","High.Elevation",24,78,1
"655","High.Elevation",20,60,24
"656","High.Elevation",9,10,1
"657","High.Elevation",16,49,24
"658","High.Elevation",11,70,24
"659","High.Elevation",15,38,13
"660","High.Elevation",3,8,40
"661","High.Elevation",4,6,13
"662","High.Elevation",6,11,24
"663","High.Elevation",4,6,24
"664","High.Elevation",18,27,1
"665","High.Elevation",3,3,2
"666","High.Elevation",32,78,2
"667","High.Elevation",6,8,2
"668","High.Elevation",11,27,1
"669","High.Elevation",7,6,24
"670","High.Elevation",29,60,2
"671","High.Elevation",31,9,13
"672","High.Elevation",29,87,34
"673","High.Elevation",28,3,2
"674","High.Elevation",20,70,13
"675","High.Elevation",18,14,40
"676","High.Elevation",20,22,24
"677","High.Elevation",14,16,2
"678","High.Elevation",18,8,34
"679","High.Elevation",11,3,2
"680","High.Elevation",14,6,13
"681","High.Elevation",16,87,13
"682","High.Elevation",5,15,24
"683","High.Elevation",19,60,24
"684","High.Elevation",19,10,24
"685","High.Elevation",7,14,24
"686","High.Elevation",16,8,34
"687","High.Elevation",19,78,13
"688","High.Elevation",28,60,2
"689","High.Elevation",33,87,13
"690","High.Elevation",11,13,24
"691","High.Elevation",5,9,41
"692","High.Elevation",5,11,13
"693","High.Elevation",20,70,13
"694","High.Elevation",9,70,34
"695","High.Elevation",9,13,24
"696","High.Elevation",18,78,24
"697","High.Elevation",18,87,24
"698","High.Elevation",13,13,24
"699","High.Elevation",15,78,24
"700","High.Elevation",25,70,13
"701","High.Elevation",10,70,13
"702","High.Elevation",27,70,13
"703","High.Elevation",13,11,34
"704","High.Elevation",15,38,13
"705","High.Elevation",1,12,24
"706","High.Elevation",20,8,24
"707","High.Elevation",24,87,1
"708","High.Elevation",27,3,2
"709","High.Elevation",6,3,24
"710","High.Elevation",21,87,1
"711","High.Elevation",33,38,24
"712","High.Elevation",18,8,34
"713","High.Elevation",26,70,13
"714","High.Elevation",28,60,24
"715","High.Elevation",15,6,42
"716","High.Elevation",1,60,34
"717","High.Elevation",33,8,1
"718","High.Elevation",7,9,34
"719","High.Elevation",2,8,34
"720","High.Elevation",25,38,13
